,sentence,sentence_annotation,intent,action,scenario,labels
1799,thanks to ally for the photos,thanks to ally for the photos,general_quirky,quirky,general,21
1800,tell me what the latest news is,tell me what the latest news is,news_query,query,news,43
1801,remember to pick me up by twelve noon from the airport i have a three pm meeting,remember to [event_name : pick me up] by [time : twelve noon] from the [place_name : airport] i have a [time : three pm] [event_name : meeting],calendar_set,set,calendar,8
1802,let me know as soon as there is more news on brexit,let me know as soon as there is more news on [news_topic : brexit],news_query,query,news,43
1803,what is the weather supposed to be like this week,what is the weather supposed to be like [date : this week],weather_query,query,weather,70
1804,can you see what andrew emailed me about,can you see what [person : andrew] emailed me about,email_query,query,email,15
1805,when is taco bell going to arrive,when is [business_name : taco bell] going to arrive,takeaway_query,query,takeaway,65
1806,set a remainder at three pm to pick jo,set a remainder at [time : three pm] to pick [person : jo],calendar_set,set,calendar,8
1807,i want to hear great music,i want to hear great music,play_music,music,play,46
1808,alarm,alarm,alarm_set,set,alarm,2
1809,what is time now in california,what is time now in [place_name : california],datetime_query,query,datetime,13
1810,google translate,google translate,lists_query,query,lists,36
1811,olly please respond to greg's email stating that his idea is fantastic,olly please respond to [person : greg's] email stating that his idea is fantastic,email_sendemail,sendemail,email,17
1812,i would like to listen to pop music please,i would like to listen to [music_genre : pop] music please,play_music,music,play,46
1813,reserve a seat for me on the train march twentieth,reserve a seat for me on the [transport_type : train] [date : march twentieth],transport_ticket,ticket,transport,68
1814,olly death metal now,olly death [music_genre : metal] now,play_music,music,play,46
1815,book a train ticket to,book a [transport_type : train] ticket to,transport_ticket,ticket,transport,68
1816,four pm,[time : four pm],calendar_set,set,calendar,8
1817,movies with good rotten tomato ratings,movies with good rotten tomato ratings,recommendation_movies,movies,recommendation,60
1818,what is the weather like in miami florida today,what is the weather like in [place_name : miami florida] [date : today],weather_query,query,weather,70
1819,set alarm tomorrow at six am,set alarm [date : tomorrow] at [time : six am],alarm_set,set,alarm,2
1820,can you please be muted for a while,can you please be muted for a while,audio_volume_mute,volume_mute,audio,4
1821,more about the concert in st pete,more about the [event_name : concert] in [place_name : st pete],calendar_query,query,calendar,6
1822,what is computer,what is [definition_word : computer],qa_definition,definition,qa,52
1823,hey play that podcast i stopped last night,hey play that podcast i [podcast_descriptor : stopped last night],play_podcasts,podcasts,play,47
1824,how much is the euro versus the canadian dollar,how much is the [currency_name : euro] versus the [currency_name : canadian dollar],qa_currency,currency,qa,51
1825,give me the news,give me the news,news_query,query,news,43
1826,what events are happening near me,what events are happening near me,recommendation_events,events,recommendation,58
1827,are there any new videos on the youtube for new york times,are there any new videos on the [media_type : youtube] for [media_type : new york times],news_query,query,news,43
1828,is it true that susan's birthday is on march first,is it true that [person : susan's] [event_name : birthday] is on [date : march first],calendar_query,query,calendar,6
1829,stop the audio,stop the audio,audio_volume_mute,volume_mute,audio,4
1830,what's happening in news express,what's happening in [media_type : news express],news_query,query,news,43
1831,olly do i have an appointment next week,olly do i have an [event_name : appointment] [date : next week],calendar_query,query,calendar,6
1832,schedule,schedule,calendar_query,query,calendar,6
1833,remove meeting for wednesday morning,remove meeting for [date : wednesday] [timeofday : morning],calendar_remove,remove,calendar,7
1834,reply,reply,email_sendemail,sendemail,email,17
1835,can you do name that tune,can you do [game_name : name that tune],play_game,game,play,45
1836,in the last year how many hours have i been in meetings,in the [time : last year] how many hours have i been in [event_name : meetings],calendar_query,query,calendar,6
1837,will the world come to an end when,will the world come to an end when,general_quirky,quirky,general,21
1838,open reply,open reply,email_sendemail,sendemail,email,17
1839,get me a ride on the commuter train from nj to ny,get me a ride on the commuter [transport_type : train] from [place_name : nj] to [place_name : ny],transport_ticket,ticket,transport,68
1840,what reminders do i have set,what reminders do i have set,query,query,calendar,56
1841,i got invited to the pub on saturday,i got invited to the [place_name : pub] on [date : saturday],general_quirky,quirky,general,21
1842,please delete the meeting i have with john tonight,please delete the [event_name : meeting] i have with [person : john] [timeofday : tonight],calendar_remove,remove,calendar,7
1843,create a reminder for visa application on this thursday,create a reminder for [event_name : visa application] on this [date : thursday],calendar_set,set,calendar,8
1844,make list,make list,lists_createoradd,createoradd,lists,35
1845,what is three times seven,what is three times seven,qa_maths,maths,qa,54
1846,how many runs did cheteshwar pujara scored yesterday,how many runs did [person : cheteshwar pujara] scored [date : yesterday],news_query,query,news,43
1847,olly i like to listen to jazz,olly i like to listen to [music_genre : jazz],play_music,music,play,46
1848,what are the train times for,what are the [transport_type : train] times for,transport_query,query,transport,66
1849,delete meeting,delete [event_name : meeting],calendar_remove,remove,calendar,7
1850,set an alarm for ten o'clock tomorrow morning,set an alarm for [time : ten] o'clock [date : tomorrow] [timeofday : morning],alarm_set,set,alarm,2
1851,olly play songs from my playlist,olly play songs from my playlist,music,music,play,38
1852,near by grocery,near by [business_type : grocery],recommendation_locations,locations,recommendation,59
1853,please add this song to my playlist favorites,please add this song to my playlist favorites,likeness,likeness,music,34
1854,what currency does croatia use,what currency does [place_name : croatia] use,qa_currency,currency,qa,51
1855,is the road in some particular area wide or narrow,is the road in some particular area wide or narrow,transport_traffic,traffic,transport,69
1856,tell me amd stock prices,tell me [business_name : amd] stock prices,qa_stock,stock,qa,55
1857,what type of weather can i expect today,what type of weather can i expect [date : today],weather_query,query,weather,70
1858,dim the lights to level two,dim the lights to level two,iot_hue_lightdim,hue_lightdim,iot,28
1859,does bob live in france,does [person : bob] [personal_info : live] in [place_name : france],email_querycontact,querycontact,email,16
1860,start reading fifty shades of grey from chapter four,[player_setting : start reading] [audiobook_name : fifty shades of grey] from chapter four,play_audiobook,audiobook,play,44
